id,item_id,dept_id,cat_id,store_id,state_id,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28,d_29,d_30,d_31,d_32,d_33,d_34,d_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,d_51,d_52,d_53,d_54,d_55,d_56,d_57,d_58,d_59,d_60
FOODS_3_145_CA_4_validation,FOODS_3_145,FOODS_3,FOODS,CA_4,CA,3,1,4,2,2,1,1,1,1,2,1,0,0,0,0,2,1,1,3,0,0,0,0,0,0,0,1,2,2,0,1,1,0,1,0,0,2,0,4,1,1,1,2,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0
FOODS_3_439_CA_4_validation,FOODS_3_439,FOODS_3,FOODS,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_452_CA_4_validation,FOODS_3_452,FOODS_3,FOODS,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
HOBBIES_1_352_TX_1_validation,HOBBIES_1_352,HOBBIES_1,HOBBIES,TX_1,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_472_TX_1_validation,HOUSEHOLD_1_472,HOUSEHOLD_1,HOUSEHOLD,TX_1,TX,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4,0,0,0
HOUSEHOLD_2_077_TX_1_validation,HOUSEHOLD_2_077,HOUSEHOLD_2,HOUSEHOLD,TX_1,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_349_TX_1_validation,HOUSEHOLD_2_349,HOUSEHOLD_2,HOUSEHOLD,TX_1,TX,0,2,1,0,3,0,0,0,0,0,1,0,0,2,0,1,0,1,0,1,1,0,1,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,3,0,5,2,0
HOUSEHOLD_2_422_TX_1_validation,HOUSEHOLD_2_422,HOUSEHOLD_2,HOUSEHOLD,TX_1,TX,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_2_135_TX_1_validation,FOODS_2_135,FOODS_2,FOODS,TX_1,TX,0,2,3,2,5,8,1,5,0,5,0,1,0,3,3,2,2,5,0,5,0,10,3,1,1,1,0,4,2,4,6,2,1,3,0,5,4,1,3,0,0,1,3,4,3,0,1,3,1,3,4,1,7,0,1,0,2,3,1,0
FOODS_2_257_TX_1_validation,FOODS_2_257,FOODS_2,FOODS,TX_1,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_145_TX_1_validation,FOODS_3_145,FOODS_3,FOODS,TX_1,TX,1,0,0,1,1,3,0,1,0,0,2,0,2,2,1,0,1,0,0,0,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
FOODS_3_439_TX_1_validation,FOODS_3_439,FOODS_3,FOODS,TX_1,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_452_TX_1_validation,FOODS_3_452,FOODS_3,FOODS,TX_1,TX,1,0,1,1,1,0,0,3,1,0,0,2,0,4,1,2,1,0,0,0,4,2,1,1,2,0,0,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,0,1
HOBBIES_1_352_TX_2_validation,HOBBIES_1_352,HOBBIES_1,HOBBIES,TX_2,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_472_TX_2_validation,HOUSEHOLD_1_472,HOUSEHOLD_1,HOUSEHOLD,TX_2,TX,0,1,0,0,0,0,0,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,2,0,0,0,0,1,0,1,1,0,1,0,0,2,0
HOUSEHOLD_2_077_TX_2_validation,HOUSEHOLD_2_077,HOUSEHOLD_2,HOUSEHOLD,TX_2,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_349_TX_2_validation,HOUSEHOLD_2_349,HOUSEHOLD_2,HOUSEHOLD,TX_2,TX,1,1,0,0,0,1,0,0,0,2,1,0,0,1,1,4,1,1,0,3,1,1,0,1,3,0,1,0,2,1,0,0,1,0,0,1,1,1,0,2,1,4,0,0,0,0,0,0,1,1,1,0,1,0,0,2,1,1,0,0
HOUSEHOLD_2_422_TX_2_validation,HOUSEHOLD_2_422,HOUSEHOLD_2,HOUSEHOLD,TX_2,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
FOODS_2_135_TX_2_validation,FOODS_2_135,FOODS_2,FOODS,TX_2,TX,3,1,3,3,0,9,1,7,4,2,2,3,6,6,3,0,0,5,1,7,5,2,2,0,1,1,4,4,0,2,3,7,1,2,0,4,5,2,0,1,1,1,0,2,4,2,0,0,0,0,0,0,0,0,0,4,0,2,3,5
FOODS_2_257_TX_2_validation,FOODS_2_257,FOODS_2,FOODS,TX_2,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_145_TX_2_validation,FOODS_3_145,FOODS_3,FOODS,TX_2,TX,2,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,0,0,0,2,1,0,1,7,0,0,1,1,0,0,0,0,2,0,0,3,0,0,1,0,2,0
FOODS_3_439_TX_2_validation,FOODS_3_439,FOODS_3,FOODS,TX_2,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_452_TX_2_validation,FOODS_3_452,FOODS_3,FOODS,TX_2,TX,1,1,1,0,2,0,2,1,2,1,1,0,2,0,0,0,0,0,1,2,0,1,1,2,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
HOBBIES_1_352_TX_3_validation,HOBBIES_1_352,HOBBIES_1,HOBBIES,TX_3,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_472_TX_3_validation,HOUSEHOLD_1_472,HOUSEHOLD_1,HOUSEHOLD,TX_3,TX,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,1
HOUSEHOLD_2_077_TX_3_validation,HOUSEHOLD_2_077,HOUSEHOLD_2,HOUSEHOLD,TX_3,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_349_TX_3_validation,HOUSEHOLD_2_349,HOUSEHOLD_2,HOUSEHOLD,TX_3,TX,0,3,0,0,0,0,1,3,1,0,0,0,1,0,0,1,0,0,0,1,0,3,0,1,2,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0
HOUSEHOLD_2_422_TX_3_validation,HOUSEHOLD_2_422,HOUSEHOLD_2,HOUSEHOLD,TX_3,TX,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FOODS_2_135_TX_3_validation,FOODS_2_135,FOODS_2,FOODS,TX_3,TX,1,7,3,0,0,0,0,3,1,3,0,0,0,0,0,3,4,2,0,10,1,3,2,2,2,0,3,0,0,0,0,0,0,4,3,0,1,0,0,0,0,4,2,2,0,0,0,0,0,0,0,3,2,4,3,2,3,4,4,4
FOODS_2_257_TX_3_validation,FOODS_2_257,FOODS_2,FOODS,TX_3,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_145_TX_3_validation,FOODS_3_145,FOODS_3,FOODS,TX_3,TX,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FOODS_3_439_TX_3_validation,FOODS_3_439,FOODS_3,FOODS,TX_3,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_452_TX_3_validation,FOODS_3_452,FOODS_3,FOODS,TX_3,TX,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
HOBBIES_1_352_WI_1_validation,HOBBIES_1_352,HOBBIES_1,HOBBIES,WI_1,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_472_WI_1_validation,HOUSEHOLD_1_472,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
HOUSEHOLD_2_077_WI_1_validation,HOUSEHOLD_2_077,HOUSEHOLD_2,HOUSEHOLD,WI_1,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_349_WI_1_validation,HOUSEHOLD_2_349,HOUSEHOLD_2,HOUSEHOLD,WI_1,WI,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
HOUSEHOLD_2_422_WI_1_validation,HOUSEHOLD_2_422,HOUSEHOLD_2,HOUSEHOLD,WI_1,WI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_2_135_WI_1_validation,FOODS_2_135,FOODS_2,FOODS,WI_1,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
